Film,Date,Year,Weekend,Gross
"Hey There, It's Yogi Bear!",6/7/1964,1964,23,2492678
Bedtime Story,6/14/1964,1964,24,2384384
The Unsinkable Molly Brown,6/21/1964,1964,25,2382188
A Shot in the Dark,6/28/1964,1964,26,2624833
Circus World,7/5/1964,1964,27,2371733
The Killers,7/12/1964,1964,28,2472733
The Moon-Spinners,7/19/1964,1964,29,1974375
Marnie,7/26/1964,1964,30,2733832
Marnie,8/2/1964,1964,31,2382583
The Night of the Iguana,8/9/1964,1964,32,2527893
A Hard Day's Night,8/16/1964,1964,33,2847864
A Hard Day's Night,8/23/1964,1964,34,2735935
Mary Poppins,8/30/1964,1964,35,2738532
Mary Poppins,9/6/1964,1964,36,2722935
Mary Poppins,9/13/1964,1964,37,2482944
Mary Poppins,9/20/1964,1964,38,2389722
Mary Poppins,9/27/1964,1964,39,2285573
Cheyenne Autumn,10/4/1964,1964,40,2573567
Fail-Safe,10/11/1964,1964,41,2375382
Send Me No Flowers,10/18/1964,1964,42,2173674
Mary Poppins,10/25/1964,1964,43,2000000
The Naked Kiss,11/1/1964,1964,44,1943743
Kitten with a Whip,11/8/1964,1964,45,2472843
Roustabout,11/15/1964,1964,46,2834783
Roustabout,11/22/1964,1964,47,2462732
Roustabout,11/29/1964,1964,48,1743678
Roustabout,12/6/1964,1964,49,1378035
Father Goose,12/13/1964,1964,50,2735284
"Hush… Hush, Sweet Charlotte",12/20/1964,1964,51,2174273
My Fair Lady,12/27/1964,1964,52,2578822
My Fair Lady,1/10/1965,1965,1,3674486
My Fair Lady,1/17/1965,1965,2,3247388
My Fair Lady,1/24/1965,1965,3,2674356
36 Hours,1/31/1965,1965,4,2765684
My Fair Lady,2/7/1965,1965,5,2583583
My Fair Lady,2/14/1965,1965,6,2375284
The Greatest Story Ever Told,2/21/1965,1965,7,2445385
The Greatest Story Ever Told,2/28/1965,1965,8,2173700
The Sound of Music,3/7/1965,1965,9,3899574
The Sound of Music,3/14/1965,1965,10,3875893
The Sound of Music,3/21/1965,1965,11,3648893
The Sound of Music,3/28/1965,1965,12,3472844
The Sound of Music,4/4/1965,1965,13,3395385
Girl Happy,4/11/1965,1965,14,3674385
In Harm's Way,4/18/1965,1965,15,3624683
The Sound of Music,4/25/1965,1965,16,3582733
The Sound of Music,5/2/1965,1965,17,3256274
Brainstorm,5/9/1965,1965,18,2875486
The Sound of Music,5/16/1965,1965,19,3000000
The Sound of Music,5/23/1965,1965,20,2864933
The Sound of Music,5/30/1965,1965,21,2793564
Those Magnificent Men in their Flying Machines,6/6/1965,1965,22,3563264
Those Magnificent Men in their Flying Machines,6/13/1965,1965,23,3452722
Those Magnificent Men in their Flying Machines,6/20/1965,1965,24,3324211
Von Ryan's Express,6/27/1965,1965,25,3576783
Tickle Me,7/4/1965,1965,26,3157932
Cat Ballou,7/11/1965,1965,27,3385283
The Sound of Music,7/18/1965,1965,28,2948000
The Sound of Music,7/25/1965,1965,29,2584822
Ship of Fools,8/1/1965,1965,30,2845385
Ship of Fools,8/8/1965,1965,31,2573299
A Very Special Favor,8/15/1965,1965,32,2533588
A Very Special Favor,8/22/1965,1965,33,2154288
Morituri,8/29/1965,1965,34,2678384
Morituri,9/5/1965,1965,35,2274844
Once a Thief,9/12/1965,1965,36,2385483
Once a Thief,9/19/1965,1965,37,2174278
How to Murder Your Wife,9/26/1965,1965,38,2573844
Mickey One,10/3/1965,1965,39,2578299
The Agony and the Ecstasy,10/10/1965,1965,40,2984385
The Cincinnati Kid,10/17/1965,1965,41,2684355
The Cincinnati Kid,10/24/1965,1965,42,2183853
The Cincinnati Kid,10/31/1965,1965,43,1947695
King Rat,11/7/1965,1965,44,2843853
King Rat,11/14/1965,1965,45,1572684
King Rat,11/21/1965,1965,46,1281843
Harum Scarum,11/28/1965,1965,47,2746489
That Darn Cat!,12/5/1965,1965,48,2638684
A Patch of Blue,12/12/1965,1965,49,2357753
A Patch of Blue,12/19/1965,1965,50,2174374
Thunderball,12/26/1965,1965,51,3957483
Doctor Zhivago,1/2/1966,1965,52,3786483
Agent for H.A.R.M.,1/9/1966,1966,1,1942676
Our Man Flint,1/16/1966,1966,2,1382674
The Ghost and Mr. Chicken,1/23/1966,1966,3,1245684
Doctor Zhivago,1/30/1966,1966,4,2000000
The Rare Breed,2/6/1966,1966,5,2358583
Doctor Zhivago,2/13/1966,1966,6,2184583
The Silencers,2/20/1966,1966,7,2748784
Harper,2/27/1966,1966,8,2573743
The Group,3/6/1966,1966,9,2448373
Johnny Reno,3/13/1966,1966,10,2321648
Doctor Zhivago,3/20/1966,1966,11,2158964
Doctor Zhivago,3/27/1966,1966,12,1583568
Frankie and Johnny,4/3/1966,1966,13,2953844
The Singing Nun,4/10/1966,1966,14,1753832
Doctor Zhivago,4/17/1966,1966,15,1000000
Doctor Zhivago,4/24/1966,1966,16,964868
Doctor Zhivago,5/1/1966,1966,17,875777
Doctor Zhivago,5/8/1966,1966,18,566778
Doctor Zhivago,5/15/1966,1966,19,444267
Doctor Zhivago,5/22/1966,1966,20,322684
"The Russians Are Coming, the Russians Are Coming",5/29/1966,1966,21,3833568
"The Russians Are Coming, the Russians Are Coming",6/5/1966,1966,22,3147375
"Paradise, Hawaiian Style",6/12/1966,1966,23,3543684
"The Russians Are Coming, the Russians Are Coming",6/19/1966,1966,24,2938635
Around the World Under the Sea,6/26/1966,1966,25,2674684
Who's Afraid of Virginia Woolf?,7/3/1966,1966,26,2595954
Three on a Couch,7/10/1966,1966,27,2645785
Torn Curtain,7/17/1966,1966,28,2463894
Batman,7/24/1966,1966,29,2358385
Who's Afraid of Virginia Woolf?,7/31/1966,1966,30,2245873
The Man Called Flintstone,8/7/1966,1966,31,2764684
Who's Afraid of Virginia Woolf?,8/14/1966,1966,32,2435867
Who's Afraid of Virginia Woolf?,8/21/1966,1966,33,2247573
Fantastic Voyage,8/28/1966,1966,34,2347355
Who's Afraid of Virginia Woolf?,9/4/1966,1966,35,1900563
Who's Afraid of Virginia Woolf?,9/11/1966,1966,36,1567443
Who's Afraid of Virginia Woolf?,9/18/1966,1966,37,1273664
Who's Afraid of Virginia Woolf?,9/25/1966,1966,38,1000436
The Bible: In the Beginning,10/2/1966,1966,39,3832583
The Bible: In the Beginning,10/9/1966,1966,40,2903694
Hawaii,10/16/1966,1966,41,2986467
Spinout,10/23/1966,1966,42,2674485
Way...Way Out,10/30/1966,1966,43,2738644
The Professionals,11/6/1966,1966,44,3632583
Madame X,11/13/1966,1966,45,2947354
Penelope,11/20/1966,1966,46,2524684
The Bible: In the Beginning,11/27/1966,1966,47,2364543
The Bible: In the Beginning,12/4/1966,1966,48,1583683
The Bible: In the Beginning,12/11/1966,1966,49,1247543
A Man for All Seasons,12/18/1966,1966,50,3573684
Murderers' Row,12/25/1966,1966,51,3583583
The Sand Pebbles,1/1/1967,1966,52,3283573
The Sand Pebbles,1/8/1967,1967,1,3673622
The Sand Pebbles,1/15/1967,1967,2,3736741
A Fistful of Dollars,1/22/1967,1967,3,3672672
Hotel,1/29/1967,1967,4,2573711
A Fistful of Dollars,2/5/1967,1967,5,2427768
The Fox,2/12/1967,1967,6,2573582
